RowId,DwgId,DwgHandleLow,DwgHandleHigh,DwgSubIndex,RowClassName,PnPID
7337,3402,80989,0,0,ConcentricReducer,7338
7349,3402,83250,0,0,CentrifugalPump,7350
7355,3402,85354,0,0,Annotation,7356
7364,3402,88877,0,0,ElectricMotor,7365
7371,3402,91208,0,0,Annotation,7372
7385,3402,96224,0,0,FlexibleHose,7386
7393,3402,100739,0,0,Annotation,7394
7395,3402,100756,0,0,Annotation,7396
7404,3402,116953,0,0,FieldMountedDCS,7405
7406,3402,117007,0,0,FieldMountedDCS,7407
7410,3402,117035,0,0,FieldMountedDCS,7411
7416,3402,117077,0,0,FieldMountedDCS,7417
7430,3402,124004,0,0,FlowArrow,7431
7432,3402,124045,0,0,FieldMountedDCS,7433
7434,3402,124059,0,0,FieldMountedDCS,7435
7447,3402,124081,0,0,FieldMountedDCS,7448
7449,3402,124095,0,0,FieldMountedDCS,7450
7453,3402,124165,0,0,FieldMountedDCS,7454
7455,3402,124179,0,0,FlowArrow,7456
7461,3402,124189,0,0,ConcentricReducer,7462
7463,3402,124182,0,0,Annotation,7464
7469,3402,124234,0,0,Primary,7470
7602,3402,124311,0,0,FlexibleHose,7603
7610,3402,124365,0,0,GateValve,7611
7620,3402,124437,0,0,FieldMountedDCS,7621
7624,3402,124499,0,0,ConcentricReducer,7625
7626,3402,124500,0,0,Primary,7627
7629,3402,124501,0,0,Primary,7630
7631,3402,124523,0,0,Primary,7632
7635,3402,124525,0,0,Primary,7636
7640,3402,124575,0,0,ConcentricReducer,7641
7642,3402,124576,0,0,Primary,7643
7644,3402,124593,0,0,FieldMountedDCS,7645
7646,3402,124607,0,0,FieldMountedDCS,7647
7654,3402,124664,0,0,Primary,7655
7657,3402,124666,0,0,Primary,7658
7659,3402,124667,0,0,Primary,7660
7661,3402,124671,0,0,Primary,7662
7676,3402,124702,0,0,FlowArrow,7677
7678,3402,124713,0,0,GateValve,7679
7713,3402,124865,0,0,FieldMountedDCS,7714
7717,3402,124893,0,0,ConcentricReducer,7718
7729,3402,125038,0,0,Primary,7730
7731,3402,125039,0,0,FieldMountedDCS,7732
7733,3402,125094,0,0,Primary,7734
7736,3402,125095,0,0,FieldMountedDCS,7737
7738,3402,125109,0,0,FieldMountedDCS,7739
7740,3402,125204,0,0,FieldMountedDCS,7741
7742,3402,125218,0,0,FieldMountedDCS,7743
7746,3402,125279,0,0,ConcentricReducer,7747
7770,3402,125425,0,0,ConcentricReducer,7771
7797,3402,125556,0,0,GateValve,7798
7810,3402,125616,0,0,FlangedNozzle,7811
7812,3402,125618,0,0,FieldMountedDCS,7813
7814,3402,125673,0,0,FieldMountedDCS,7815
7816,3402,125687,0,0,Primary,7817
7826,3402,125777,0,0,ElectricMotor,7827
7830,3402,125770,0,0,Annotation,7831
7833,3402,125901,0,0,Annotation,7834
7835,3402,125908,0,0,ElectricMotor,7836
7839,3402,125865,0,0,Annotation,7840
7841,3402,125872,0,0,CentrifugalPump,7842
7847,3402,125992,0,0,FieldMountedDCS,7848
7849,3402,126006,0,0,Primary,7850
7851,3402,126007,0,0,Primary,7852
7853,3402,126008,0,0,Primary,7854
7902,3402,126110,0,0,FieldMountedDCS,7903
7904,3402,126125,0,0,FieldMountedDCS,7905
7912,3402,126169,0,0,ConcentricReducer,7913
7916,3402,126189,0,0,Primary,7917
7924,3402,126193,0,0,Primary,7925
7928,3402,126201,0,0,ConcentricReducer,7929
7930,3402,126202,0,0,Primary,7931
7933,3402,126203,0,0,Primary,7934
7935,3402,126219,0,0,Primary,7936
7940,3402,126227,0,0,ConcentricReducer,7941
7942,3402,126228,0,0,Primary,7943
7946,3402,126276,0,0,ConcentricReducer,7947
7952,3402,126279,0,0,Primary,7953
7956,3402,126281,0,0,Primary,7957
7958,3402,126282,0,0,FlangedNozzle,7959
7962,3402,126347,0,0,ConcentricReducer,7963
7964,3402,126348,0,0,Primary,7965
7968,3402,126396,0,0,ConcentricReducer,7969
7970,3402,126397,0,0,Primary,7971
7974,3402,126423,0,0,GateValve,7975
7978,3402,126467,0,0,ConcentricReducer,7979
7980,3402,126468,0,0,Primary,7981
7984,3402,126479,0,0,GateValve,7985
7986,3402,126603,0,0,ElectricMotor,7987
7990,3402,126560,0,0,Annotation,7991
7992,3402,126596,0,0,Annotation,7993
7994,3402,126567,0,0,CentrifugalPump,7995
8001,3402,126732,0,0,FieldMountedDCS,8002
8009,3402,135272,0,0,GateValve,8010
