TableName,AttributeName,AttributeValue,AttributeType
EnergySymbols,DisplayName,Energy Symbols,PnPClassDisplayName
MechanicalEnergy,BitwiseFlagValue,1,PnPClassFlagType
MechanicalEnergy,DisplayName,Mechanical Energy,PnPClassDisplayName
PneumaticEnergy,BitwiseFlagValue,1,PnPClassFlagType
PneumaticEnergy,DisplayName,Pneumatic Energy,PnPClassDisplayName
HeatEnergy,BitwiseFlagValue,1,PnPClassFlagType
HeatEnergy,DisplayName,Heat Energy,PnPClassDisplayName
SteamEnergy,BitwiseFlagValue,1,PnPClassFlagType
SteamEnergy,DisplayName,Steam Energy,PnPClassDisplayName
WaterEnergy,BitwiseFlagValue,1,PnPClassFlagType
WaterEnergy,DisplayName,Water Energy,PnPClassDisplayName
ElectricEnergy,BitwiseFlagValue,1,PnPClassFlagType
ElectricEnergy,DisplayName,Electric Energy,PnPClassDisplayName
HydraulicEnergy,BitwiseFlagValue,1,PnPClassFlagType
HydraulicEnergy,DisplayName,Hydraulic Energy,PnPClassDisplayName
LightEnergy,BitwiseFlagValue,1,PnPClassFlagType
LightEnergy,DisplayName,Light Energy,PnPClassDisplayName
RadiationEnergy,BitwiseFlagValue,1,PnPClassFlagType
RadiationEnergy,DisplayName,Radiation Energy,PnPClassDisplayName
IonizingRadiationEnergy,BitwiseFlagValue,1,PnPClassFlagType
IonizingRadiationEnergy,DisplayName,Ionizing Radiation Energy,PnPClassDisplayName
InLineAssets,AnnotationStyleName,Oval Tag Style,PnPAnnotation
InLineAssets,BitwiseFlagValue,3,PnPClassFlagType
InLineAssets,DisplayName,Inline Assets,PnPClassDisplayName
InLineAssets,GraphicalStyleName,Inline Assets Style,PnPGraphical
InLineAssets,HasFlowDirection,false,PnPClassBooleanType
HandValves,AnnotationStyleName,Valve Label,PnPAnnotation
HandValves,BitwiseFlagValue,3,PnPClassFlagType
HandValves,DisplayName,Hand Valves,PnPClassDisplayName
HandValves,GraphicalStyleName,Hand Valves Style,PnPGraphical
HandValves,HasFlowDirection,false,PnPClassBooleanType
HandValves,TagFormatName,Hand Valve Tag [Code-Number],PnPTagFormat
AngleBallValve,BitwiseFlagValue,0,PnPClassFlagType
AngleBallValve,DisplayName,Angle Ball Valve,PnPClassDisplayName
AngleBallValve,HasFlowDirection,false,PnPClassBooleanType
AngleGlobeValve,BitwiseFlagValue,0,PnPClassFlagType
AngleGlobeValve,DisplayName,Angle Globe Valve,PnPClassDisplayName
AngleGlobeValve,HasFlowDirection,false,PnPClassBooleanType
AngleValve,AnnotationStyleName,Valve Label - Angle,PnPAnnotation
AngleValve,BitwiseFlagValue,3,PnPClassFlagType
AngleValve,DisplayName,Angle Valve,PnPClassDisplayName
AngleValve,GraphicalStyleName,Angle Valve Style,PnPGraphical
AngleValve,HasFlowDirection,false,PnPClassBooleanType
BallValve,BitwiseFlagValue,3,PnPClassFlagType
BallValve,DisplayName,Ball Valve,PnPClassDisplayName
BallValve,GraphicalStyleName,Ball Valve Style,PnPGraphical
BallValve,HasFlowDirection,false,PnPClassBooleanType
BreatherValve,BitwiseFlagValue,0,PnPClassFlagType
BreatherValve,DisplayName,Breather Valve,PnPClassDisplayName
BreatherValve,HasFlowDirection,false,PnPClassBooleanType
ButterflyValve,BitwiseFlagValue,3,PnPClassFlagType
ButterflyValve,DisplayName,Butterfly Valve,PnPClassDisplayName
ButterflyValve,GraphicalStyleName,Butterfly Valve Style,PnPGraphical
ButterflyValve,HasFlowDirection,false,PnPClassBooleanType
CheckValve,BitwiseFlagValue,3,PnPClassFlagType
CheckValve,DisplayName,Check Valve,PnPClassDisplayName
CheckValve,GraphicalStyleName,Check Valve Style,PnPGraphical
CheckValve,HasFlowDirection,true,PnPClassBooleanType
ContinuouslyOperatedValve,BitwiseFlagValue,8,PnPClassFlagType
ContinuouslyOperatedValve,DisplayName,Continuously Operated Valve,PnPClassDisplayName
ContinuouslyOperatedValve,GraphicalStyleName,ChangeMeStye,PnPGraphical
ContinuouslyOperatedValve,HasFlowDirection,false,PnPClassBooleanType
DiaphragmValve,BitwiseFlagValue,3,PnPClassFlagType
DiaphragmValve,DisplayName,Diaphragm Valve,PnPClassDisplayName
DiaphragmValve,GraphicalStyleName,Diaphragm Valve Style,PnPGraphical
DiaphragmValve,HasFlowDirection,false,PnPClassBooleanType
DiverterValve,BitwiseFlagValue,3,PnPClassFlagType
DiverterValve,DisplayName,Diverter Valve,PnPClassDisplayName
DiverterValve,GraphicalStyleName,Diverter Valve Style,PnPGraphical
DiverterValve,HasFlowDirection,false,PnPClassBooleanType
ExcessFlowValve,BitwiseFlagValue,3,PnPClassFlagType
ExcessFlowValve,DisplayName,Excess Flow Valve,PnPClassDisplayName
ExcessFlowValve,GraphicalStyleName,Excess Flow Valve Style,PnPGraphical
ExcessFlowValve,HasFlowDirection,true,PnPClassBooleanType
FourWayValve,AnnotationStyleName,Valve Label,PnPAnnotation
FourWayValve,BitwiseFlagValue,3,PnPClassFlagType
FourWayValve,DisplayName,Four Way Valve,PnPClassDisplayName
FourWayValve,GraphicalStyleName,Four Way Valve Style,PnPGraphical
FourWayValve,HasFlowDirection,false,PnPClassBooleanType
GateValve,BitwiseFlagValue,3,PnPClassFlagType
GateValve,DisplayName,Gate Valve,PnPClassDisplayName
