ROWID,RELID,RelationshipTypeName
11270,7974,AnnotationRelationship
3474,7975,AnnotationRelationship
11273,7975,AnnotationRelationship
3474,7976,AnnotationRelationship
11275,7976,AnnotationRelationship
3474,7977,AnnotationRelationship
11277,7977,AnnotationRelationship
3474,7978,AnnotationRelationship
11279,7978,AnnotationRelationship
3474,7979,AnnotationRelationship
11281,7979,AnnotationRelationship
3474,7980,AnnotationRelationship
11283,7980,AnnotationRelationship
3474,7981,AnnotationRelationship
11285,7981,AnnotationRelationship
3474,7982,AnnotationRelationship
11287,7982,AnnotationRelationship
3474,7983,AnnotationRelationship
11289,7983,AnnotationRelationship
3474,7984,AnnotationRelationship
11291,7984,AnnotationRelationship
11295,7985,PipeLineGroupRelationship
11293,7985,PipeLineGroupRelationship
11293,7986,LineEndAsset
9871,7986,LineEndAsset
11293,7987,LineInlineAsset
9871,7987,LineInlineAsset
11298,7988,PipeLineGroupRelationship
11296,7988,PipeLineGroupRelationship
11302,7989,PipeLineGroupRelationship
11299,7989,PipeLineGroupRelationship
11299,7990,LineInlineAsset
9874,7990,LineInlineAsset
6882,7998,PipeLineGroupRelationship
11303,7998,PipeLineGroupRelationship
11308,8005,PipeLineGroupRelationship
11306,8005,PipeLineGroupRelationship
3478,8006,AnnotationRelationship
11309,8006,AnnotationRelationship
3478,8007,AnnotationRelationship
11311,8007,AnnotationRelationship
3478,8008,AnnotationRelationship
11313,8008,AnnotationRelationship
3478,8009,AnnotationRelationship
11315,8009,AnnotationRelationship
3478,8010,AnnotationRelationship
11317,8010,AnnotationRelationship
3478,8101,AnnotationRelationship
11402,8101,AnnotationRelationship
3890,8102,AnnotationRelationship
11404,8102,AnnotationRelationship
3890,8103,AnnotationRelationship
11406,8103,AnnotationRelationship
3890,8104,AnnotationRelationship
11408,8104,AnnotationRelationship
3890,8105,AnnotationRelationship
11410,8105,AnnotationRelationship
3890,8106,AnnotationRelationship
11412,8106,AnnotationRelationship
3890,8107,AnnotationRelationship
11414,8107,AnnotationRelationship
3890,8108,AnnotationRelationship
11416,8108,AnnotationRelationship
3890,8109,AnnotationRelationship
