PnPID,ClassName,Description,Manufacturer,ModelNumber,Supplier,Comment,FlagValue,AcquisitionProperties,Status,ParamOnLine
10234,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10239,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10250,Flexible Hose,FLEXIBLE HOSE,,,,,0,,,
10252,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10268,Flexible Hose,FLEXIBLE HOSE,,,,,0,,New,
10277,Check Valve,CHECK VALVE,,,,,0,,New,0.508811
10289,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10291,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10294,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10317,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10324,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10404,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10414,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10421,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10423,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10427,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10431,Concentric Reducer,CONCENTRIC REDUCER,,,,,0,,New,0.945353
10433,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10435,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10440,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10446,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10449,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10452,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10455,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10458,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10461,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10466,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10477,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10485,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10488,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10491,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10494,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10504,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10515,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10520,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10528,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10539,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10543,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10554,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10559,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10566,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10577,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10589,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
