TableName,BaseTable,Abstract,PhysicalName,Revision,SyncTimestamp
CentrifugalSumpPump,Pumps,FALSE,CentrifugalSumpPump,,
DiaphragmPump,Pumps,FALSE,DiaphragmPump,,
GearPump,Pumps,FALSE,GearPump,,
GeneralPump,Pumps,FALSE,GeneralPump,,
HelicalRotorPump,Pumps,FALSE,HelicalRotorPump,,
HorizontalCentrifugalPump,Pumps,FALSE,HorizontalCentrifugalPump,,
LiquidJetPump,Pumps,FALSE,LiquidJetPump,,
LiquidRingVacuumPump,Pumps,FALSE,LiquidRingVacuumPump,,
PositiveDisplacementPump,Pumps,FALSE,PositiveDisplacementPump,,
ProgressiveCavityPump,Pumps,FALSE,ProgressiveCavityPump,,
ReciprocatingPump,Pumps,FALSE,ReciprocatingPump,,
ScrewPump,Pumps,FALSE,ScrewPump,,
VerticalCanPump,Pumps,FALSE,VerticalCanPump,,
VerticalInlinePump,Pumps,FALSE,VerticalInlinePump,,
RotaryPistonPump,Pumps,FALSE,RotaryPistonPump,,
ElectromagneticPump,Pumps,FALSE,ElectromagneticPump,,
Tanks,Equipment,FALSE,Tanks,,
Bag,Tanks,FALSE,Bag,,
ConeRoofTank,Tanks,FALSE,ConeRoofTank,,
ConicalBin,Tanks,FALSE,ConicalBin,,
ConicalHeadsVessel,Tanks,FALSE,ConicalHeadsVessel,,
Container,Tanks,FALSE,Container,,
CoolingTower,Tanks,FALSE,CoolingTower,,
DishedHeadsVessel,Tanks,FALSE,DishedHeadsVessel,,
DistillationTower,Tanks,FALSE,DistillationTower,,
DomeRoofTank,Tanks,FALSE,DomeRoofTank,,
DoubleWallTank,Tanks,FALSE,DoubleWallTank,,
ExternalFloatingRoofTank,Tanks,FALSE,ExternalFloatingRoofTank,,
FixedBedColumn,Tanks,FALSE,FixedBedColumn,,
FloatingRoofTank,Tanks,FALSE,FloatingRoofTank,,
FluidizedBedColumn,Tanks,FALSE,FluidizedBedColumn,,
FullTubeCoilVessel,Tanks,FALSE,FullTubeCoilVessel,,
GasCylinder,Tanks,FALSE,GasCylinder,,
GasHolder,Tanks,FALSE,GasHolder,,
GeneralBasin,Tanks,FALSE,GeneralBasin,,
GeneralColumn,Tanks,FALSE,GeneralColumn,,
GeneralColumnWithTrays,Tanks,FALSE,GeneralColumnWithTrays,,
GeneralVessel,Tanks,FALSE,GeneralVessel,,
InternalFloatingRoofTank,Tanks,FALSE,InternalFloatingRoofTank,,
JacketedVessel,Tanks,FALSE,JacketedVessel,,
OpenTopTank,Tanks,FALSE,OpenTopTank,,
Reactor,Tanks,FALSE,Reactor,,
SemiTubeVessel,Tanks,FALSE,SemiTubeVessel,,
Sphere,Tanks,FALSE,Sphere,,
SphericalVessel,Tanks,FALSE,SphericalVessel,,
Vessel,Tanks,FALSE,Vessel,5.0,
VesselWithPackedSection,Tanks,FALSE,VesselWithPackedSection,,
VesselWithTrayedInternals,Tanks,FALSE,VesselWithTrayedInternals,,
WeightHopper,Tanks,FALSE,WeightHopper,,
ChemicalTreatmentWater,Tanks,FALSE,ChemicalTreatmentWater,,
WaterTreatmentTank,Tanks,FALSE,WaterTreatmentTank,,
WaterTreatmentTankOpen,Tanks,FALSE,WaterTreatmentTankOpen,,
WaterTreatmentTankOpenWithStirrer,Tanks,FALSE,WaterTreatmentTankOpenWithStirrer,,
WaterTreatmentTankOpenWithOverPressure,Tanks,FALSE,WaterTreatmentTankOpenWithOverPressure,,
RapidCleaningTank,Tanks,FALSE,RapidCleaningTank,,
MeteringDevice,Tanks,FALSE,MeteringDevice,,
VesselWithDishedEndsGeneral,Tanks,FALSE,VesselWithDishedEndsGeneral,,
VesselWithTaperedEnds,Tanks,FALSE,VesselWithTaperedEnds,,
VesselWithPipeCoils,Tanks,FALSE,VesselWithPipeCoils,,
VesselWithTricklingDeaeration,Tanks,FALSE,VesselWithTricklingDeaeration,,
VesselTricklingDeaerationandSteamAdmissionBottom,Tanks,FALSE,VesselTricklingDeaerationandSteamAdmissionBottom,,
VesselWithSprayDeaeration,Tanks,FALSE,VesselWithSprayDeaeration,,
VesselWithSprayDeaerationAndSpraynozzles,Tanks,FALSE,VesselWithSprayDeaerationAndSpraynozzles,,
GravityAccumulator,Tanks,FALSE,GravityAccumulator,,
BarrelDrum,Tanks,FALSE,BarrelDrum,,
NuclearReactors,Equipment,FALSE,NuclearReactors,,
NuclearReactorGeneral,NuclearReactors,FALSE,NuclearReactorGeneral,,
RepOperatingAreas,NuclearReactors,FALSE,RepOperatingAreas,,
PressurizedWaterReactor,NuclearReactors,FALSE,PressurizedWaterReactor,,
BoilingWaterReactor,NuclearReactors,FALSE,BoilingWaterReactor,,
AdvancedGasCooledReactor,NuclearReactors,FALSE,AdvancedGasCooledReactor,,
HighTemperatureReactor,NuclearReactors,FALSE,HighTemperatureReactor,,
FastBreederReactor,NuclearReactors,FALSE,FastBreederReactor,,
EnergySymbols,Equipment,FALSE,EnergySymbols,,
MechanicalEnergy,EnergySymbols,FALSE,MechanicalEnergy,,
PneumaticEnergy,EnergySymbols,FALSE,PneumaticEnergy,,
HeatEnergy,EnergySymbols,FALSE,HeatEnergy,,
SteamEnergy,EnergySymbols,FALSE,SteamEnergy,,
WaterEnergy,EnergySymbols,FALSE,WaterEnergy,,
ElectricEnergy,EnergySymbols,FALSE,ElectricEnergy,,
HydraulicEnergy,EnergySymbols,FALSE,HydraulicEnergy,,
LightEnergy,EnergySymbols,FALSE,LightEnergy,,
RadiationEnergy,EnergySymbols,FALSE,RadiationEnergy,,
IonizingRadiationEnergy,EnergySymbols,FALSE,IonizingRadiationEnergy,,
InLineAssets,EngineeringItems,FALSE,InLineAssets,,
HandValves,InLineAssets,FALSE,HandValves,1.0,
AngleBallValve,HandValves,FALSE,AngleBallValve,,
AngleGlobeValve,HandValves,FALSE,AngleGlobeValve,,
AngleValve,HandValves,FALSE,AngleValve,1.0,
BallValve,HandValves,FALSE,BallValve,,
BreatherValve,HandValves,FALSE,BreatherValve,,
ButterflyValve,HandValves,FALSE,ButterflyValve,,
CheckValve,HandValves,FALSE,CheckValve,,
ContinuouslyOperatedValve,HandValves,FALSE,ContinuouslyOperatedValve,,
DiaphragmValve,HandValves,FALSE,DiaphragmValve,,
DiverterValve,HandValves,FALSE,DiverterValve,,
ExcessFlowValve,HandValves,FALSE,ExcessFlowValve,,
FourWayValve,HandValves,FALSE,FourWayValve,,
GateValve,HandValves,FALSE,GateValve,3.0,
GenericRotaryValve,HandValves,FALSE,GenericRotaryValve,,
GlobeValve,HandValves,FALSE,GlobeValve,,
KnifeValve,HandValves,FALSE,KnifeValve,,
LiftCheckValve,HandValves,FALSE,LiftCheckValve,,
NeedleValve,HandValves,FALSE,NeedleValve,,
PinchValve,HandValves,FALSE,PinchValve,,
PlugValve,HandValves,FALSE,PlugValve,,
RotaryValve,HandValves,FALSE,RotaryValve,,
StopCheckValve,HandValves,FALSE,StopCheckValve,,
SwingCheckValve,HandValves,FALSE,SwingCheckValve,,
ThreeWayBallValve,HandValves,FALSE,ThreeWayBallValve,,
ThreeWayGlobeValve,HandValves,FALSE,ThreeWayGlobeValve,,
ThreeWayValve,HandValves,FALSE,ThreeWayValve,,
ValveGeneral,HandValves,FALSE,ValveGeneral,,
StraightwayCheckValve,HandValves,FALSE,StraightwayCheckValve,,
ScrewdownStraightwayCheckValve,HandValves,FALSE,ScrewdownStraightwayCheckValve,,
AngleCheckValve,HandValves,FALSE,AngleCheckValve,,
ScrewdownAngleCheckValve,HandValves,FALSE,ScrewdownAngleCheckValve,,
BallCheckValve,HandValves,FALSE,BallCheckValve,,
