PnPID,Tag,LineNumber,Description,Service,NominalSize,NominalSpec,Comment,AcquisitionProperties,Status
6882,?,,PIPE LINE GROUP,,,,,,New
6889,?,,PIPE LINE GROUP,,,,,,New
6890,?,,PIPE LINE GROUP,,,,,,New
6893,?,,PIPE LINE GROUP,,,,,,New
7235,?,,PIPE LINE GROUP,,,,,,New
7258,?,,PIPE LINE GROUP,,,,,,New
7286,?,,PIPE LINE GROUP,,,,,,New
7446,?,,PIPE LINE GROUP,,,,,,New
7628,?,,PIPE LINE GROUP,,,,,,New
7637,?,,PIPE LINE GROUP,,,,,,New
7735,?,,PIPE LINE GROUP,,,,,,New
7809,?,,PIPE LINE GROUP,,,,,,New
7818,?,,PIPE LINE GROUP,,,,,,New
7855,?,,PIPE LINE GROUP,,,,,,New
7856,?,,PIPE LINE GROUP,,,,,,New
7857,?,,PIPE LINE GROUP,,,,,,New
8657,?,,PIPE LINE GROUP,,,,,,New
8658,?,,PIPE LINE GROUP,,,,,,New
8668,?,,PIPE LINE GROUP,,,,,,New
8673,?,,PIPE LINE GROUP,,,,,,New
8728,?,,PIPE LINE GROUP,,,,,,New
8729,?,,PIPE LINE GROUP,,,,,,New
8736,?,,PIPE LINE GROUP,,,,,,New
8761,?,,PIPE LINE GROUP,,,,,,New
8768,?,,PIPE LINE GROUP,,,,,,New
8801,?,,PIPE LINE GROUP,,,,,,New
8855,?,,PIPE LINE GROUP,,,,,,New
8864,?,,PIPE LINE GROUP,,,,,,New
8901,?,,PIPE LINE GROUP,,,,,,New
8908,?,,PIPE LINE GROUP,,,,,,New
8923,?,,PIPE LINE GROUP,,,,,,New
9020,?,,PIPE LINE GROUP,,,,,,New
9021,?,,PIPE LINE GROUP,,,,,,New
9023,?,,PIPE LINE GROUP,,,,,,New
9024,?,,PIPE LINE GROUP,,,,,,New
9048,?,,PIPE LINE GROUP,,,,,,New
9076,?,,PIPE LINE GROUP,,,,,,New
9124,?,,PIPE LINE GROUP,,,,,,New
9125,?,,PIPE LINE GROUP,,,,,,New
9126,?,,PIPE LINE GROUP,,,,,,New
9127,?,,PIPE LINE GROUP,,,,,,New
9128,?,,PIPE LINE GROUP,,,,,,New
9243,?,,PIPE LINE GROUP,,,,,,New
9248,?,,PIPE LINE GROUP,,,,,,New
9275,?,,PIPE LINE GROUP,,,,,,New
9280,?,,PIPE LINE GROUP,,,,,,New
9311,?,,PIPE LINE GROUP,,,,,,New
9312,?,,PIPE LINE GROUP,,,,,,New
9313,?,,PIPE LINE GROUP,,,,,,New
9329,?,,PIPE LINE GROUP,,,,,,New
9441,?,,PIPE LINE GROUP,,,,,,New
9442,?,,PIPE LINE GROUP,,,,,,New
9443,?,,PIPE LINE GROUP,,,,,,New
9446,?,,PIPE LINE GROUP,,,,,,New
9449,?,,PIPE LINE GROUP,,,,,,New
9451,?,,PIPE LINE GROUP,,,,,,New
9452,?,,PIPE LINE GROUP,,,,,,New
9454,?,,PIPE LINE GROUP,,,,,,New
9455,?,,PIPE LINE GROUP,,,,,,New
9456,?,,PIPE LINE GROUP,,,,,,New
9458,?,,PIPE LINE GROUP,,,,,,New
9459,?,,PIPE LINE GROUP,,,,,,New
9462,?,,PIPE LINE GROUP,,,,,,New
9463,?,,PIPE LINE GROUP,,,,,,New
9464,?,,PIPE LINE GROUP,,,,,,New
9465,?,,PIPE LINE GROUP,,,,,,New
9472,?,,PIPE LINE GROUP,,,,,,New
10249,?,,PIPE LINE GROUP,,,,,,New
10272,?,,PIPE LINE GROUP,,,,,,New
10293,?,,PIPE LINE GROUP,,,,,,New
10305,?,,PIPE LINE GROUP,,,,,,New
10314,?,,PIPE LINE GROUP,,,,,,New
10328,?,,PIPE LINE GROUP,,,,,,New
10408,?,,PIPE LINE GROUP,,,,,,New
10439,?,,PIPE LINE GROUP,,,,,,New
10474,?,,PIPE LINE GROUP,,,,,,New
10503,?,,PIPE LINE GROUP,,,,,,New
10508,?,,PIPE LINE GROUP,,,,,,New
10519,?,,PIPE LINE GROUP,,,,,,New
10558,?,,PIPE LINE GROUP,,,,,,New
10565,?,,PIPE LINE GROUP,,,,,,New
10587,?,,PIPE LINE GROUP,,,,,,New
10717,?,,PIPE LINE GROUP,,,,,,New
10727,?,,PIPE LINE GROUP,,,,,,New
10728,?,,PIPE LINE GROUP,,,,,,New
10737,?,,PIPE LINE GROUP,,,,,,New
10746,?,,PIPE LINE GROUP,,,,,,New
10792,?,,PIPE LINE GROUP,,,,,,New
10804,?,,PIPE LINE GROUP,,,,,,New
10815,?,,PIPE LINE GROUP,,,,,,New
10850,?,,PIPE LINE GROUP,,,,,,New
10866,?,,PIPE LINE GROUP,,,,,,New
10875,?,,PIPE LINE GROUP,,,,,,New
10882,?,,PIPE LINE GROUP,,,,,,New
10922,?,,PIPE LINE GROUP,,,,,,New
10931,?,,PIPE LINE GROUP,,,,,,New
11156,?,,PIPE LINE GROUP,,,,,,New
11167,?,,PIPE LINE GROUP,,,,,,New
11218,?,,PIPE LINE GROUP,,,,,,New
11295,?,,PIPE LINE GROUP,,,,,,New
11298,?,,PIPE LINE GROUP,,,,,,New
11302,?,,PIPE LINE GROUP,,,,,,New
11308,?,,PIPE LINE GROUP,,,,,,New
11455,?,,PIPE LINE GROUP,,,,,,New
11478,?,,PIPE LINE GROUP,,,,,,New
11504,?,,PIPE LINE GROUP,,,,,,New
11509,?,,PIPE LINE GROUP,,,,,,New
11706,?,,PIPE LINE GROUP,,,,,,New
11715,?,,PIPE LINE GROUP,,,,,,New
11915,?,,PIPE LINE GROUP,,,,,,New
12014,?,,PIPE LINE GROUP,,,,,,New
12056,?,,PIPE LINE GROUP,,,,,,New
12078,?,,PIPE LINE GROUP,,,,,,New
12123,?,,PIPE LINE GROUP,,,,,,New
12146,?,,PIPE LINE GROUP,,,,,,New
12195,?,,PIPE LINE GROUP,,,,,,New
12198,?,,PIPE LINE GROUP,,,,,,New
12202,?,,PIPE LINE GROUP,,,,,,New
12205,?,,PIPE LINE GROUP,,,,,,New
12213,?,,PIPE LINE GROUP,,,,,,New
12218,?,,PIPE LINE GROUP,,,,,,New
12228,?,,PIPE LINE GROUP,,,,,,New
12233,?,,PIPE LINE GROUP,,,,,,New
12238,?,,PIPE LINE GROUP,,,,,,New
12241,?,,PIPE LINE GROUP,,,,,,New
12246,?,,PIPE LINE GROUP,,,,,,New
12251,?,,PIPE LINE GROUP,,,,,,New
12260,?,,PIPE LINE GROUP,,,,,,New
12421,,,PIPE LINE GROUP,,,,,,New
12443,?,,PIPE LINE GROUP,,,,,,New
12464,?,,PIPE LINE GROUP,,,,,,New
12468,?,,PIPE LINE GROUP,,,,,,New
12486,?,,PIPE LINE GROUP,,,,,,New
12496,?,,PIPE LINE GROUP,,,,,,New
12499,?,,PIPE LINE GROUP,,,,,,New
12505,?,,PIPE LINE GROUP,,,,,,New
12510,?,,PIPE LINE GROUP,,,,,,New
12529,?,,PIPE LINE GROUP,,,,,,New
12556,?,,PIPE LINE GROUP,,,,,,New
12557,?,,PIPE LINE GROUP,,,,,,New
12558,?,,PIPE LINE GROUP,,,,,,New
12565,?,,PIPE LINE GROUP,,,,,,New
12566,?,,PIPE LINE GROUP,,,,,,New
12567,?,,PIPE LINE GROUP,,,,,,New
12576,?,,PIPE LINE GROUP,,,,,,New
12577,?,,PIPE LINE GROUP,,,,,,New
12578,?,,PIPE LINE GROUP,,,,,,New
12579,?,,PIPE LINE GROUP,,,,,,New
