TableName,PropertyName,PropertyType,IsObjectId,IsCounter,IsSystem,IsUnique,CheckConstraint,DefaultValue,Length,IsExpression,Expression
SteamEnergy,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
WaterEnergy,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
ElectricEnergy,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
HydraulicEnergy,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
LightEnergy,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
RadiationEnergy,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
IonizingRadiationEnergy,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
InLineAssets,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
InLineAssets,Size,System.String,FALSE,FALSE,FALSE,FALSE,,,255,FALSE,
InLineAssets,Spec,System.String,FALSE,FALSE,FALSE,FALSE,,,255,FALSE,
InLineAssets,Spec Part,System.String,FALSE,FALSE,FALSE,FALSE,,,255,FALSE,
InLineAssets,SpecPartGuid,System.String,FALSE,FALSE,FALSE,FALSE,,,255,FALSE,
HandValves,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
HandValves,Tag,System.String,FALSE,FALSE,FALSE,FALSE,,,255,FALSE,
HandValves,ValveCode,System.String,FALSE,FALSE,FALSE,FALSE,,,255,FALSE,
HandValves,Normally,System.String,FALSE,FALSE,FALSE,FALSE,,,255,FALSE,
HandValves,Failure,System.String,FALSE,FALSE,FALSE,FALSE,,,255,FALSE,
HandValves,EndConnections,System.String,FALSE,FALSE,FALSE,FALSE,,,255,FALSE,
HandValves,Number,System.String,FALSE,FALSE,FALSE,FALSE,,,255,FALSE,
HandValves,Code,System.String,FALSE,FALSE,FALSE,FALSE,,,255,FALSE,
AngleBallValve,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
AngleGlobeValve,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
AngleValve,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
BallValve,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
BreatherValve,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
ButterflyValve,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
CheckValve,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
ContinuouslyOperatedValve,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
DiaphragmValve,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
DiverterValve,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
ExcessFlowValve,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
FourWayValve,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
GateValve,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
GenericRotaryValve,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
GlobeValve,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
KnifeValve,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
LiftCheckValve,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
NeedleValve,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
PinchValve,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
PlugValve,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
RotaryValve,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
